レース馬番ID,レースID,レース日付,開催回数,競馬場コード,競馬場名,開催日数,競争条件,レース記号/[抽],レース記号/(馬齢),レース記号/牝,レース記号/(父),レース記号/(別定),レース記号/(混),レース記号/(ハンデ),レース記号/(抽),レース記号/(市),レース記号/(定量),レース記号/牡,レース記号/関東配布馬,レース記号/(指),レース記号/関西配布馬,レース記号/九州産馬,レース記号/見習騎手,レース記号/せん,レース記号/(国際),レース記号/[指],レース記号/(特指),レース番号,重賞回次,レース名,リステッド・重賞競走,障害区分,芝・ダート区分,芝・ダート区分2,右左回り・直線区分,内・外・襷区分,距離(m),天候,馬場状態1,馬場状態2,発走時刻,着順,着順注記,枠番,馬番,馬名,性別,馬齢,斤量,騎手,タイム,着差,1コーナー,2コーナー,3コーナー,4コーナー,上り,単勝,人気,馬体重,場体重増減,東西・外国・地方区分,調教師,馬主,賞金(万円)
19860602040901,198606020409,1986-03-02,2,6,中山,4,4歳以上オープン,,,,,(別定),(混),,,,,,,,,,,,,,,9,,マーチステークス ,,,芝,,右,外,2200,晴,良,,14:30,2.0,,1,1,カシマアーバン,牡,7,57.0,的場均,2:16.2,1/2,2.0,2.0,2.0,2.0,35.4,6.9,3.0,452.0,-6.0,東,斎藤籌敬,松浦安雄,560.0
19860602040906,198606020409,1986-03-02,2,6,中山,4,4歳以上オープン,,,,,(別定),(混),,,,,,,,,,,,,,,9,,マーチステークス ,,,芝,,右,外,2200,晴,良,,14:30,3.0,,6,6,チェスナットバレー,牡,6,58.0,郷原洋行,2:16.2,アタマ,5.0,5.0,4.0,4.0,35.1,1.9,1.0,440.0,-4.0,東,奥平真治,ハイランド牧場,350.0
19860602040902,198606020409,1986-03-02,2,6,中山,4,4歳以上オープン,,,,,(別定),(混),,,,,,,,,,,,,,,9,,マーチステークス ,,,芝,,右,外,2200,晴,良,,14:30,4.0,,2,2,メディアシロー,牡,5,55.0,柴田政人,2:16.3,3/4,1.0,1.0,1.0,1.0,35.6,11.5,5.0,480.0,-2.0,東,保田隆芳,西山正行,210.0
19860602040907,198606020409,1986-03-02,2,6,中山,4,4歳以上オープン,,,,,(別定),(混),,,,,,,,,,,,,,,9,,マーチステークス ,,,芝,,右,外,2200,晴,良,,14:30,5.0,,7,7,トチノニシキ,牝,5,53.0,蛯沢誠治,2:16.6,2,6.0,6.0,4.0,4.0,35.4,13.0,6.0,438.0,-6.0,東,栗田博憲,早乙女光男,140.0
19860602040903,198606020409,1986-03-02,2,6,中山,4,4歳以上オープン,,,,,(別定),(混),,,,,,,,,,,,,,,9,,マーチステークス ,,,芝,,右,外,2200,晴,良,,14:30,6.0,,3,3,パッシングローレル,牡,5,55.0,岡部幸雄,2:16.6,アタマ,3.0,2.0,4.0,6.0,35.6,7.6,4.0,508.0,2.0,東,前田禎,山本菊一,
19860602040905,198606020409,1986-03-02,2,6,中山,4,4歳以上オープン,,,,,(別定),(混),,,,,,,,,,,,,,,9,,マーチステークス ,,,芝,,右,外,2200,晴,良,,14:30,7.0,,5,5,サクラシンボリ,牡,8,58.0,小島太,2:17.3,4,6.0,7.0,7.0,7.0,35.9,23.0,7.0,482.0,0.0,東,久保田彦,全演植,
19860602041002,198606020410,1986-03-02,2,6,中山,4,4歳以上900万下,,,,,(別定),(混),,,,,,,,,,,,,,,10,,常陸特別 ,,,芝,,右,,1800,晴,良,,15:05,1.0,,2,2,カシマキング,牡,7,56.0,的場均,1:49.9,,3.0,4.0,5.0,2.0,35.7,2.6,1.0,456.0,-4.0,東,飯塚好次,松浦安雄,890.0
19860602041003,198606020410,1986-03-02,2,6,中山,4,4歳以上900万下,,,,,(別定),(混),,,,,,,,,,,,,,,10,,常陸特別 ,,,芝,,右,,1800,晴,良,,15:05,2.0,,3,3,ナスノタイザン,牡,5,56.0,嶋田功,1:50.0,3/4,3.0,4.0,6.0,6.0,35.7,8.1,5.0,476.0,-4.0,東,稲葉幸夫,那須野牧場,360.0
19860602041007,198606020410,1986-03-02,2,6,中山,4,4歳以上900万下,,,,,(別定),(混),,,,,,,,,,,,,,,10,,常陸特別 ,,,芝,,右,,1800,晴,良,,15:05,3.0,,5,7,ザウエルカム,牡,6,57.0,坂井千明,1:50.1,3/4,12.0,12.0,9.0,9.0,35.5,6.2,3.0,478.0,0.0,東,相川勝敏,植村憲生,220.0
19860602041001,198606020410,1986-03-02,2,6,中山,4,4歳以上900万下,,,,,(別定),(混),,,,,,,,,,,,,,,10,,常陸特別 ,,,芝,,右,,1800,晴,良,,15:05,4.0,,1,1,ミツワランド,牝,5,54.0,橋口満朗,1:50.2,クビ,1.0,1.0,1.0,1.0,36.3,40.4,12.0,482.0,0.0,東,佐藤嘉秋,高橋昌作,130.0
